ANZSCO Code,Occupation,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
3126,Safety Inspectors,33.8,14.0,18.9,5.4,20.7,1.9,2.3,2.8
3129,Other Building and Engineering Technicians,17.5,8.3,27.5,6.8,37.1,1.3,1.2,0.4
3131,ICT Support Technicians,36.4,24.8,17.7,5.8,8.6,1.6,1.2,3.9
3132,Telecommunications Technical Specialists,33.0,23.9,22.0,3.9,8.1,3.4,2.9,2.8
3211,Automotive Electricians,16.9,18.3,31.0,4.1,26.0,1.5,1.3,0.9
3212,Motor Mechanics,26.3,24.7,25.0,6.9,12.6,2.0,1.4,1.2
3221,"Metal Casting, Forging and Finishing Trades",10.6,32.1,27.0,13.5,4.2,4.2,4.2,4.2
3222,Sheetmetal Trades Workers,25.6,22.2,22.4,7.1,14.9,2.8,3.0,1.9
3223,Structural Steel and Welding Trades Workers,25.1,18.5,22.1,9.0,20.7,3.1,1.0,0.4
3231,Aircraft Maintenance Engineers,35.1,22.9,19.5,5.0,10.4,1.3,4.8,1.0
3232,Metal Fitters and Machinists,20.9,16.9,24.6,6.7,27.3,2.2,1.1,0.1
3233,Precision Metal Trades Workers,33.1,27.9,16.2,4.6,12.3,2.0,1.7,2.2
3234,Toolmakers and Engineering Patternmakers,28.4,32.7,12.3,12.0,5.8,3.0,2.9,2.9
3241,Panelbeaters,34.6,23.6,17.1,6.0,13.5,3.0,1.4,0.8
3242,Vehicle Body Builders and Trimmers,18.9,31.6,27.3,3.9,12.7,2.5,1.6,1.6
3243,Vehicle Painters,31.6,26.2,18.1,8.2,10.7,2.8,1.2,1.3
3311,Bricklayers and Stonemasons,28.5,28.0,14.5,6.6,19.2,1.4,0.6,1.2
3312,Carpenters and Joiners,31.3,29.9,19.9,6.3,8.3,2.3,0.7,1.3
3321,Floor Finishers,29.3,30.3,19.3,7.0,8.7,2.5,1.1,1.9
3322,Painting Trades Workers,30.7,23.4,23.9,7.0,10.1,2.9,0.5,1.6
3331,Glaziers,29.0,19.0,24.3,4.6,15.6,3.7,1.7,2.1
3332,Plasterers,25.5,29.4,23.9,9.0,8.1,2.2,0.8,1.0
3333,Roof Tilers,32.3,14.6,38.5,3.7,6.3,1.2,1.2,2.1
3334,Wall and Floor Tilers,35.8,16.5,26.3,7.6,10.8,1.2,0.8,1.0
3341,Plumbers,29.0,30.8,18.0,5.1,13.4,1.7,0.7,1.3
3411,Electricians,28.9,21.9,24.4,6.2,14.3,1.7,1.2,1.3
3421,Airconditioning and Refrigeration Mechanics,29.8,19.8,28.3,8.2,10.5,0.9,1.5,1.0
3422,Electrical Distribution Trades Workers,31.7,23.6,16.0,7.6,15.7,3.2,0.9,1.3
3423,Electronics Trades Workers,31.7,27.0,20.8,5.7,10.4,1.7,0.8,1.9
